BEGIN;
BEGIN
select
	s_acctbal,
	s_name,
	n_name,
	p_partkey,
	p_mfgr,
	s_address,
	s_phone,
	s_comment
from
	part,
	supplier,
	partsupp,
	nation,
	region
where
	p_partkey = ps_partkey
	and s_suppkey = ps_suppkey
	and p_size = 28
	and p_type like '%NICKEL'
	and s_nationkey = n_nationkey
	and n_regionkey = r_regionkey
	and r_name = 'MIDDLE EAST'
	and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
			and n_regionkey = r_regionkey
			and r_name = 'MIDDLE EAST'
	)
order by
	s_acctbal desc,
	n_name,
	s_name,
	p_partkey
LIMIT 100;
 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                              
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+-----------------------------------------------------------------------------------------------------
   9999.73 | Supplier#000876265        | JORDAN                    |  13626251 | Manufacturer#2            | sN,SDl jg9cjA2p5xehQ2igWZ19KLVTqDGkYbB   | 23-919-420-4533 | lyly blithe accounts. blithely final
   9999.52 | Supplier#000264342        | IRAN                      |   4014337 | Manufacturer#5            | 2wY3ZgEBb2WEohQYJDxDJx,fpf HOR,8tX15     | 20-813-829-9077 | e ironic, unusual accounts. ideas wake carefully around the permanent deposits; final excuses a
   9999.38 | Supplier#000960579        | EGYPT                     |  19210521 | Manufacturer#3            | aB3j4kellD                               | 14-355-600-9214 | along the blithely unusual deposit
   9999.16 | Supplier#000711444        | EGYPT                     |  18711443 | Manufacturer#1            | BBPVI4w2cN7uM                            | 14-766-379-2554 | after the carefully bold platelets. blithely unusual 
   9998.95 | Supplier#000148225        | IRAN                      |    148224 | Manufacturer#2            | tO9wKyv J uuhM1Com NeeoNC 9WRuE59        | 20-782-280-8482 | refully. foxes cajole quickly. ironic excuses was according to the final ideas. waters integrat
   9998.59 | Supplier#000854073        | JORDAN                    |  13104033 | Manufacturer#4            | ux1n,G8VgS,ZTiUm1yNfdib4v4dmK1qi         | 23-424-712-2533 | . ideas x-ray accounts. blithely regular ideas must sleep 
   9998.33 | Supplier#000344168        | IRAQ                      |  11344167 | Manufacturer#1            | gDehk2DFoTClRxllqx4HWn8ynELZ44           | 21-320-978-2609 | careful packages hinder carefully across the slyly ironic requests. regu
   9997.97 | Supplier#000410275        | IRAN                      |  13410274 | Manufacturer#1            | vHYB I8HjP96vGu                          | 20-212-519-5268 | foxes. ironically final platelets wake about the ironic excuses. ironic fox
   9997.55 | Supplier#000170117        | IRAN                      |  11670094 | Manufacturer#2            | SD,Qs6T,qCXUwXyFXbA1zUz cxEpflp          | 20-465-566-7536 |  bravely except the blithely regular forges. slyly regular packa
   9997.53 | Supplier#000937565        | SAUDI ARABIA              |  10937564 | Manufacturer#1            | JjCqOWSD8i 5NAqUwf4                      | 30-555-279-3569 | ording to the carefully regular theodo
   9997.53 | Supplier#000937565        | SAUDI ARABIA              |  14687550 | Manufacturer#1            | JjCqOWSD8i 5NAqUwf4                      | 30-555-279-3569 | ording to the carefully regular theodo
   9997.46 | Supplier#000707323        | JORDAN                    |   2957316 | Manufacturer#5            | jnODLMrD8GLNgNCAEZn01Mm5pNIwtdvV         | 23-606-501-5222 |  pinto beans. blithely final requests nag 
   9997.35 | Supplier#000031340        | IRAN                      |   6281321 | Manufacturer#3            | OXcLAf,LolJ HDq                          | 20-432-827-9234 | even foxes cajole against the blithely 
   9997.35 | Supplier#000031340        | IRAN                      |  16531307 | Manufacturer#5            | OXcLAf,LolJ HDq                          | 20-432-827-9234 | even foxes cajole against the blithely 
   9997.01 | Supplier#000190620        | IRAN                      |   2190619 | Manufacturer#1            | Vne9V2MAtcvqIDJiv5J43OlzyrsfM            | 20-952-780-7347 | es serve furiously blithely express ideas: fluffily ironic accounts above the carefully sp
   9996.95 | Supplier#000177647        | IRAN                      |   5177646 | Manufacturer#3            | whVD1hC5vujp                             | 20-784-718-1638 | ep furiously. carefully pending deposits above the flu
   9996.95 | Supplier#000177647        | IRAN                      |  13177646 | Manufacturer#1            | whVD1hC5vujp                             | 20-784-718-1638 | ep furiously. carefully pending deposits above the flu
    9996.6 | Supplier#000846694        | JORDAN                    |  19846693 | Manufacturer#5            | JuIJtrTqEl zliLIyIq                      | 23-289-606-4706 | ing requests sleep slyly along the express theodolites. quickly p
   9995.81 | Supplier#000959799        | SAUDI ARABIA              |  16459766 | Manufacturer#5            | EGGkAhAgrqZ                              | 30-712-407-5318 | ges. quickly pending packages wake blithely. care
   9995.23 | Supplier#000730348        | EGYPT                     |  13980308 | Manufacturer#1            | JpW7ysZr0gC8DNyzVE9tyNaui                | 14-788-727-2352 |  waters wake quickly dependencies. slyly ironic packages integrate slyly 
   9995.06 | Supplier#000027193        | JORDAN                    |   5527182 | Manufacturer#5            | kI2QBgD6qOD M2cvm5DHRWglie4iiezig6zKBOv, | 23-747-675-5470 | atelets! regular packages doubt furiously. carefully regular requests are thinly fluffily regul
   9994.37 | Supplier#000934870        | IRAQ                      |  13184830 | Manufacturer#1            | Ane,NSqhmUAgyT78JGHfvgqdvkRrFVgOj        | 21-913-343-2604 | about the blithely final instructions sleep furiously regular, even pinto beans. ev
   9994.12 | Supplier#000620240        | JORDAN                    |    870239 | Manufacturer#4            | cRwbnAQPugMyu5fdaTnCqEZsKB5E7zV2WRG2 S   | 23-358-238-7959 | evenly regular deposits. furiously express ideas nag 
    9994.1 | Supplier#000047385        | SAUDI ARABIA              |  14297342 | Manufacturer#4            | pbRKuJaBXBl,5bOv9UhB8SDR cuz 8           | 30-427-545-5707 | nic dependencies nag fluffily across the blithely special foxes. furiously silent deposit
   9993.69 | Supplier#000632648        | SAUDI ARABIA              |  18382629 | Manufacturer#1            | NYcfXLdPlXLL635kkF NmMU UXSa,9t          | 30-698-668-4921 | gside of the blithely final instructions. furiously pending packages haggle quickly. blithely
    9993.6 | Supplier#000585359        | SAUDI ARABIA              |   5585358 | Manufacturer#5            | U6gE2 xY4v6JQ                            | 30-849-641-7511 | rmanently express instructio
   9993.45 | Supplier#000680056        | IRAN                      |  14680055 | Manufacturer#2            | K3c6ZLCD8bwZqz8tgf1eQ5BdCtJ3ezl3pP0bZ    | 20-570-901-1287 |  slyly regular deposits. even theodolites cajole furiously final excuses-- slyly pending foxes prin
   9993.45 | Supplier#000730217        | IRAQ                      |   1480215 | Manufacturer#3            | wHEfH,u e2nL0f0dApfBN0R6meM3ivqgM        | 21-310-107-9547 | l accounts detect quickly regular accounts. bli
   9993.45 | Supplier#000861752        | IRAQ                      |   5111736 | Manufacturer#3            | jIQWhMR6lUcLnWlI5Hqq1saLm0R152           | 21-469-267-5981 | es above the final warhorses wake carefully against the carefully iro
   9991.78 | Supplier#000622010        | EGYPT                     |  19622009 | Manufacturer#2            | Stp7eTHHLTZjVFXYShSDJ4XRcPvSpKmG0Y       | 14-194-543-3427 | pecial packages wake. bold, even escapades haggle furiously regular accounts. furiously pend
   9991.68 | Supplier#000397842        | IRAQ                      |  18647787 | Manufacturer#5            | cFXyG38DCBMno                            | 21-497-339-4236 | . foxes according to the finally fi
   9991.53 | Supplier#000030467        | IRAQ                      |   4280454 | Manufacturer#2            | xQ3 5fQoG0X                              | 21-373-974-1547 | yly pending pinto beans: furiously ironic dolphins haggle sly
   9991.33 | Supplier#000088586        | IRAN                      |  10088585 | Manufacturer#3            | 34clwSJUish ,RCR                         | 20-448-473-8236 | s. slyly pending ideas haggle furiously pending packages. fluffily special dependencies ca
   9990.52 | Supplier#000977665        | EGYPT                     |  10727654 | Manufacturer#5            |  HayAEGWBKnV0                            | 14-869-727-8983 | s are quickly regular requests! deposit
   9990.43 | Supplier#000666408        | JORDAN                    |  14916365 | Manufacturer#1            | IM4Xp2flaKHOte2NAHQ                      | 23-236-778-3859 | ckly special foxes above the excuses may wake idly special requests. car
   9990.08 | Supplier#000679470        | IRAN                      |   4429465 | Manufacturer#1            | TA6XM,P1CuB                              | 20-328-506-5564 | st carefully regular requests: fluffily final packages above the carefully final pinto bean
   9989.75 | Supplier#000794423        | EGYPT                     |   9544413 | Manufacturer#2            | bUd6VBGwFR1QnHlx,vASzu                   | 14-705-942-1593 | y ironic accounts cajole blithely beyon
   9989.73 | Supplier#000982405        | IRAQ                      |   6732398 | Manufacturer#1            | 8YifnYDJVM,a2JQ0egXbdSa7XEG QZCp0PBOp2l  | 21-225-664-2584 |  bold requests. slyly ironic foxes sleep. bold ideas may detect slyly reg
   9989.14 | Supplier#000402715        | SAUDI ARABIA              |  14152700 | Manufacturer#2            | MYMbKnHiJZq9,JJ8 X8QjnLo05X              | 30-646-616-1237 |  unusual foxes wake furiously ruthlessly silent sheaves. blithely 
   9989.03 | Supplier#000145765        | IRAQ                      |  15395719 | Manufacturer#2            | RAaG4demFzvVDM5sGkKJFyqvdZr              | 21-841-969-7137 | counts. carefully ironic theodolites are blithely furiously ironic courts.
   9989.02 | Supplier#000401151        | SAUDI ARABIA              |   6151144 | Manufacturer#4            | PUjHjOGMupLbx9xZFjEa1                    | 30-698-356-3177 | sly final packages haggle pending packages. ironic, express
   9988.52 | Supplier#000806235        | EGYPT                     |  12556222 | Manufacturer#5            | 3XsrxPQpcLZ60m9mgyRL                     | 14-528-678-6839 | cording to the closely final accounts use blithely final accounts. final pinto beans are furiou
